timestamp,LC_data
0:00:00.013757,633
0:00:00.013992,-8807
0:00:00.110448,-8391
0:00:00.110520,-960
0:00:00.191304,-9594
0:00:00.191423,-6155
0:00:00.272206,-6356
0:00:00.272310,1783
0:00:00.360536,9100
0:00:00.360640,-9168
0:00:00.442531,-4912
0:00:00.446961,-4995
0:00:00.525713,-452
0:00:00.526563,-245
0:00:00.604806,4033
0:00:00.604910,-2782
0:00:00.688507,-392
0:00:00.688602,4753
0:00:00.772153,9341
0:00:00.772250,1672
0:00:00.853699,26
0:00:00.856084,1575
0:00:00.934329,-9156
0:00:00.934405,5265
