timestamp,LC_data
0:00:00.006417,-1177
0:00:00.007753,-7537
0:00:00.089821,9705
0:00:00.090240,8700
0:00:00.172481,4500
0:00:00.185806,8168
0:00:00.255210,6544
0:00:00.255691,3908
0:00:00.334382,6170
0:00:00.334460,4671
0:00:00.415304,7033
0:00:00.415384,-298
0:00:00.495823,2086
0:00:00.495894,2076
0:00:00.578413,-4529
0:00:00.579780,-1625
0:00:00.657090,-990
0:00:00.657802,-8284
0:00:00.739987,9260
0:00:00.740051,-3597
0:00:00.822624,2818
0:00:00.822869,-1134
0:00:00.905226,7546
0:00:00.906692,-4062
0:00:00.984533,-7012
0:00:00.984615,-2945
